URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/news/newsbeat-53007952,3.5436100746268657,transgender,webpage,10 things that have changed in the US and UK since the death of George Floyd.,George Floyd: 10 things that have changed since his death - BBC News,,,,BBC News,10 things that have changed in the US and UK since the death of George Floyd.,en-GB
https://www.bbc.co.uk/news/election-2019-50390050,1.8575180564674985,gender-,webpage,What's the most popular candidate name? Where are the parties standing? All the candidates analysed.,General election 2019: Who's standing where? - BBC News,,,,Daniel Dunford,What's the most popular candidate name? Where are the parties standing? All the candidates analysed.,en-GB
https://www.bbc.co.uk/iplayer/episode/m001t13k/100-women-2023-1-in-conversation-amal-clooney-michelle-obama-and-melinda-french-gates,1.8037016264722379,gender-,webpage,"In a BBC 100 Women exclusive, Michelle Obama, Amal Clooney and Melinda French Gates talk to BBC Gender and Identity Correspondent Megha Mohan about combatting child marriage.","100 Women - 2023: 1. In Conversation: Amal Clooney, Michelle Obama and Melinda French Gates - BBC iPlayer",,,,,"In a BBC 100 Women exclusive, Michelle Obama, Amal Clooney and Melinda French Gates talk to BBC Gender and Identity Correspondent Megha Mohan about combatting child marriage.",gd-GB
https://www.bbc.co.uk/sounds/play/p0hr3ffm,1,"gender-based, gender-",webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Global News Podcast - Global mass bleaching affects half of the world's reefs - BBC Sounds,,,,,Ten months of record temperatures causes fourth mass global coral bleaching event,en-GB
https://www.bbc.co.uk/sounds/play/p0cjdkq8,1,"gender-based, gender-",webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Global News Podcast - Why are more men seeking vasectomies in the US? - BBC Sounds,,,,,"The overturning of Roe v Wade, the economic downturn or the pandemic easing may be reasons",en-GB
https://www.bbc.co.uk/sounds/play/p0c7jqnq,1,"gender-based, gender-",webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Global News Podcast - Protests as Indonesia's palm oil export ban affects millions - BBC Sounds,,,,,Exports of palm oil were banned to control the soaring prices of domestic cooking oil,en-GB
https://www.bbc.co.uk/programmes/p0gg4k6r/episodes/downloads,1,gender-,webpage,Podcast downloads for The Today Podcast,BBC Radio 4 - The Today Podcast - Downloads,,,,,Podcast downloads for The Today Podcast,en-GB
https://www.bbc.co.uk/sounds/play/p07gf1c1,2,conversion therapy,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Podlitical - The FM’s tip for wearing sky-high stilettos - BBC Sounds,,,,,Kezia Dugdale reveals Nicola Sturgeon’s useful life hack.,en-GB
https://www.bbc.co.uk/news/business-58708958,1,gender-,webpage,"Just over half of women think working from home will help advance their careers, says a survey for the BBC.","Working from home boosts career progress, say half of women - BBC News",,,,Elisabeth Mahy,"Just over half of women think working from home will help advance their careers, says a survey for the BBC.",en-GB
https://www.bbc.co.uk/programmes/w3ct5xh6,1.3188854489164086,gender-,webpage,Are women’s rights in Turkey being eroded ?,"BBC World Service - The Inquiry, Is Turkey getting more dangerous for women?",,,,,Are women’s rights in Turkey being eroded ?,en-GB
