Score,URL,
1.000000,https://www.bbc.co.uk/accessibility,
1.000000,https://www.bbc.co.uk/usingthebbc/cookies,
1.000000,https://www.bbc.co.uk/usingthebbc/account/help-signing-in?action=sign-in&amp;clientId=Account&amp;isCasso=false&amp;lang=ar-SA&amp;nonce=Y6hGZo2J-huZazckmiHJreyiBFSiIRWILLro&amp;ptrt=https%3A%2F%2Fwww.bbc.co.uk%2Fnotifications&amp;realm=%2F&amp;redirectUri=https%3A%2F%2Fsession.bbc.co.uk%2Fsession%2Fcallback%3Frealm%3D%2F&amp;sequenceId=ab87490c-0d34-4133-921a-0c7085b69964&amp;service=IdSignInService,
1.000000,https://www.bbc.co.uk/usingthebbc/privacy,
1.000000,https://www.bbc.co.uk/iplayer/guidance,
1.000000,https://www.bbc.co.uk/notifications,
1.000000,https://www.bbc.co.uk/contact,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/bbcnewsletter,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/aboutthebbc,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.com/weather,
1.000000,https://static.files.bbci.co.uk/search/searchbox/2fb8962a42a09d075319658f3a37a5a2/css/box.css,
1.000000,https://static.files.bbci.co.uk/orbit/bde9d3f679d1dd3f8768859cc949031d/css/orbit-ltr.min.css,
1.000000,https://static.files.bbci.co.uk/account/id-cta/730/style/id-cta.css,
1.000000,https://weather.files.bbci.co.uk/weather-web-component-renderer/103/css/location-boxes.css,
1.000000,https://weather.files.bbci.co.uk/weather-web-component-renderer/103/css/weather-page-styles.css,
1.000000,https://www.bbc.co.uk/accessibility/,
1.000000,https://www.bbc.co.uk/weather,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/cbeebies,
1.000000,https://account.bbc.com/account,
1.000000,https://www.bbc.co.uk/notifications,
1.000000,https://www.bbc.co.uk/food,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://www.facebook.com/bbcnews,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/bitesize,
2.000000,https://www.bbc.co.uk,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/cbbc,
1.000000,https://www.bbc.co.uk/iplayer,
2.000000,https://www.bbc.com/news,
2.000000,https://www.bbc.com/,
1.000000,https://search.bbc.co.uk/search?scope=all&destination=weather_ps,
1.000000,https://www.bbc.com/video,
1.000000,https://www.bbc.com/culture,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.com/business,
1.000000,https://www.bbc.com/travel,
1.000000,https://www.bbc.co.uk/iplayer,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/bitesize,
1.000000,https://www.bbc.co.uk/food,
2.000000,https://www.bbc.co.uk/news,
2.000000,https://www.bbc.com/,
1.000000,https://www.bbc.com/sport,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://www.bbc.co.uk/cbeebies,
1.000000,https://www.bbc.com/innovation,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.com/sport,
2.000000,https://www.bbc.com/future-planet,
1.000000,https://www.bbc.com/video,
1.000000,https://www.bbc.com/business,
1.000000,https://www.bbc.co.uk/cbbc,
1.000000,https://www.bbc.com/culture,
1.000000,http://www.metoffice.gov.uk,
2.000000,https://www.bbc.com/live,
1.000000,https://www.meteogroup.com,
2.000000,https://www.bbc.com/live,
1.000000,https://wmo.int,
1.000000,https://www.meteogroup.com,
1.000000,https://www.bbc.com/travel,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/iplayer,
1.000000,https://www.bbc.com/innovation,
2.000000,https://www.bbc.com/future-planet,
2.000000,https://www.bbc.co.uk/news,
2.000000,https://www.bbc.co.uk,
2.000000,https://www.bbc.com/news,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/food,
